ID,Date,Location,Police District,Police Station,Police,News,Journalists' Notes,Task Force Detainees of the Philippines,RiseUp for Life and Rights,Balay Rehabilitation Center,CCT-DRK Research,Redemptorist Social Mission,Funeral Parlor,Bishop of Caloocan,Philippine Human Rights Information Center,Commission on Human Rights,Assailant
98,Jan-2017,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,0,1.0,0.0,,0.0,0.0,0.0,Police
99,Jul-2016,Caloocan,NPD,PS-1,1,0,,,,0,,,,0.0,,,Police
100,Jul-2016,Caloocan,NPD,PS-1,1,0,,,,0,0.0,0.0,0.0,0.0,,,Police
101,Jun-2017,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,0,1.0,0.0,,1.0,0.0,0.0,Police
102,Jun-2017,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,1,1.0,0.0,,1.0,0.0,0.0,Police
103,May-2017,Caloocan,NPD,PS-1,0,1,0.0,0.0,0.0,0,1.0,0.0,,0.0,0.0,0.0,Police
106,Oct-2016,Caloocan,NPD,PS-1,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Police
107,Sep-2016,Caloocan,NPD,PS-1,1,1,,,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,Police
112,Jul-2016,Caloocan,NPD,PS-1,1,1,,,,0,1.0,0.0,0.0,0.0,,,Police
113,Jun-2017,Caloocan,NPD,PS-1,1,0,0.0,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,Police
115,Mar-2017,Caloocan,NPD,PS-1,1,0,0.0,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,Police
119,Sep-2016,Caloocan,NPD,PS-1,1,1,,,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,Police
120,Jun-2017,Caloocan,NPD,PS-1,1,0,0.0,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,Police
121,Oct-2016,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,Police
124,Jun-2017,Caloocan,NPD,PS-1,0,1,0.0,0.0,0.0,0,1.0,0.0,,0.0,0.0,0.0,Police
126,Jun-2017,Caloocan,NPD,PS-1,0,1,0.0,0.0,0.0,0,1.0,1.0,,1.0,0.0,0.0,Police
132,Jun-2017,Caloocan,NPD,PS-1,0,1,0.0,0.0,0.0,0,1.0,0.0,,1.0,0.0,0.0,Police
133,Jul-2016,Caloocan,NPD,PS-1,1,0,,,,0,0.0,0.0,0.0,0.0,,,Police
136,Nov-2016,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,0,1.0,1.0,1.0,0.0,0.0,0.0,Police
137,Oct-2016,Caloocan,NPD,PS-1,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Police
140,Jun-2017,Caloocan,NPD,PS-1,1,0,0.0,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,Police
143,Jun-2017,Caloocan,NPD,PS-1,1,0,0.0,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,Police
145,Aug-2017,Caloocan,NPD,PS-1,0,1,0.0,0.0,,0,0.0,0.0,,0.0,0.0,0.0,Police
146,Jun-2017,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,0,1.0,0.0,,1.0,0.0,0.0,Police
147,Jul-2016,Caloocan,NPD,PS-1,1,1,,,,1,1.0,0.0,0.0,0.0,,,Police
148,Mar-2017,Caloocan,NPD,PS-1,1,0,0.0,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,Police
152,Jul-2016,Caloocan,NPD,PS-1,1,1,,,,0,1.0,,,0.0,,,Police
154,Dec-2016,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,Police
156,Jun-2017,Caloocan,NPD,PS-1,1,0,0.0,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,Police
157,Dec-2016,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Police
163,Jul-2016,Caloocan,NPD,PS-1,1,1,,,,1,,,,1.0,,,Police
