ID,Date,Location,Police District,Police Station,Police,News,Commission on Human Rights,Police Reports Submitted to the House of Representatives,Task Force Detainees of the Philippines,Philippine Human Rights Information Center,RiseUp for Life and Rights,CCT-DRK Research,Parishes,Assailant
62,Jan-2017,Manila,MPD,PS-6 ,1,1,0.0,1.0,0.0,,,0,0.0,Police
63,Jan-2017,Manila,MPD,PS-1 ,1,1,0.0,1.0,0.0,,,0,0.0,Police
64,Jan-2017,Manila,MPD,PS-1 ,1,1,0.0,0.0,0.0,,,1,0.0,Police
65,Jul-2016,Manila,MPD,PS-5 ,1,1,0.0,,0.0,,,0,0.0,Police
66,Jul-2016,Manila,MPD,PS-5 ,1,1,0.0,,0.0,,,1,0.0,Police
67,Jul-2016,Manila,MPD,PS-5 ,1,1,0.0,,0.0,,,0,0.0,Police
68,Jul-2016,Manila,MPD,PS-2 ,1,0,0.0,,0.0,,,0,0.0,Police
69,Jul-2016,Manila,MPD,PS-1 ,1,0,0.0,,0.0,,,0,0.0,Police
70,Jul-2016,Manila,MPD,PS-11 ,1,1,0.0,,0.0,,,0,0.0,Police
71,Jul-2016,Manila,MPD,PS-11 ,1,1,0.0,,0.0,,,0,0.0,Police
72,Jul-2016,Manila,MPD,PS-11 ,1,1,0.0,,0.0,,,0,0.0,Police
73,Jul-2016,Manila,MPD,PS-10 ,1,1,1.0,,0.0,,,1,0.0,Police
74,Jul-2016,Manila,MPD,PS-10 ,1,1,0.0,,0.0,,,0,0.0,Police
75,Jul-2016,Manila,MPD,PS-4 ,1,1,0.0,,0.0,,,0,0.0,Police
76,Jul-2016,Manila,MPD,PS-11 ,1,1,0.0,,0.0,,,1,0.0,Police
77,Jul-2016,Manila,MPD,PS-11 ,1,1,0.0,,0.0,,,1,0.0,Police
78,Jul-2016,Manila,MPD,PS-1 ,1,1,0.0,,0.0,,,1,0.0,Police
79,Jul-2016,Manila,MPD,PS-1 ,1,1,0.0,,0.0,,,1,0.0,Police
80,Jul-2016,Manila,MPD,PS-2 ,1,1,0.0,,0.0,,,0,0.0,Police
81,Jul-2016,Manila,MPD,PS-10 ,1,1,0.0,,0.0,,,1,0.0,Police
82,Jul-2016,Manila,MPD,PS-11 ,1,1,0.0,,0.0,,,1,0.0,Police
83,Jul-2016,Manila,MPD,PS-3 ,1,1,0.0,,0.0,,,0,0.0,Police
84,Jul-2016,Manila,MPD,PS-4 ,1,1,0.0,,0.0,,,1,0.0,Police
85,Jul-2016,Manila,MPD,PS-3 ,1,1,0.0,,0.0,,,1,0.0,Police
86,Jul-2016,Manila,MPD,PS-5 ,1,1,0.0,,0.0,,,1,0.0,Police
87,Jul-2016,Manila,MPD,PS-9 ,1,1,0.0,,0.0,,,0,0.0,Police
88,Jul-2016,Manila,MPD,PS-6 ,1,1,0.0,,1.0,,,1,1.0,Police
89,Jul-2016,Manila,MPD,PS-6 ,1,1,0.0,,1.0,,,0,1.0,Police
90,Jul-2016,Manila,MPD,PS-6 ,1,1,0.0,,1.0,,,1,1.0,Police
91,Jul-2016,Manila,MPD,PS-2 ,1,1,0.0,,0.0,,,1,0.0,Police
92,Jul-2016,Manila,MPD,PS-5 ,1,1,0.0,,0.0,,,0,0.0,Police
93,Jul-2016,Manila,MPD,PS-7 ,1,1,0.0,,0.0,,,1,0.0,Police
94,Jul-2016,Manila,MPD,PS-1 ,1,1,0.0,,0.0,,,1,0.0,Police
95,Jul-2016,Manila,MPD,PS-2 ,1,0,0.0,,0.0,,,0,0.0,Police
96,Jul-2016,Manila,MPD,PS-1 ,1,1,0.0,,0.0,,,1,0.0,Police
97,Jul-2016,Manila,MPD,PS-10 ,1,1,0.0,,0.0,,,1,0.0,Police
98,Jul-2016,Manila,MPD,PS-10 ,1,1,0.0,,0.0,,,1,0.0,Police
99,Jul-2016,Manila,MPD,PS-10 ,1,1,0.0,,0.0,,,0,0.0,Police
100,Jul-2016,Manila,MPD,PS-2 ,1,0,0.0,,0.0,,,0,0.0,Police
101,Jul-2016,Manila,MPD,PS-11 ,1,1,0.0,,0.0,,,1,0.0,Police
102,Jul-2016,Manila,MPD,PS-3 ,1,1,0.0,,0.0,,,1,0.0,Police
103,Jul-2016,Manila,MPD,PS-10 ,1,1,0.0,,0.0,,,1,0.0,Police
104,Jul-2016,Manila,MPD,PS-4 ,1,1,0.0,,,,,1,0.0,Police
105,Jul-2016,Manila,MPD,PS-1 ,1,1,0.0,,,,,1,0.0,Police
106,Jul-2016,Manila,MPD,PS-7 ,1,1,0.0,,1.0,,,1,0.0,Police
107,Jul-2016,Manila,MPD,PS-7 ,1,1,0.0,,1.0,,,1,0.0,Police
108,Jul-2016,Manila,MPD,PS-8 ,1,1,0.0,,,,,0,0.0,Police
109,Jul-2016,Manila,MPD,PS-8 ,1,1,0.0,,,,,0,0.0,Police
