ID,Date,Location,Police District,Police Station,Police,News,Commission on Human Rights,Philippine Human Rights Information Center,Task for Detainees of the Philippines ,RiseUp for Life and Rights,Parishes,CCT-DRK Research,Barangay Holy Spirit Public Safety Office
56,Sep-2016,Quezon City,QCPD,PS 02 Masambong,1,1,0,0,0,0,0,1,0
57,Sep-2016,Quezon City,QCPD,PS 05 Fairview,1,1,0,0,0,0,0,0,0
58,Sep-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,1,0
59,Sep-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,0,0
60,Sep-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,1,0,0,0,0,1,0
61,Sep-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,1,0,0,0,0,0,0
62,Sep-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,1,0,0,0,0,1,0
63,Sep-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,1,0,0,0,0,1,0
64,Sep-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,1,0,0,0,0,1,0
65,Sep-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,1,0,0,0,0,1,0
66,Oct-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,1,0,0
67,Oct-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,0,0
68,Oct-2016,Quezon City,QCPD,PS 02 Masambong,1,1,0,0,0,0,0,1,0
69,Oct-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,1,0
70,Oct-2016,Quezon City,QCPD,PS 01 La Loma,1,0,0,0,0,0,0,0,0
71,Oct-2016,Quezon City,QCPD,PS 06 Batasan,1,0,0,0,0,0,0,0,0
72,Oct-2016,Quezon City,QCPD,PS 11 Galas,1,0,0,0,0,0,0,0,0
73,Oct-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,0,0
74,Oct-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,1,0
75,Nov-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,0,0
76,Nov-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,1,0
77,Nov-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,1,0
78,Nov-2016,Quezon City,QCPD,PS 05 Fairview,1,1,0,0,0,0,0,1,0
79,Nov-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,0,0
80,Nov-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,0,0
81,Nov-2016,Quezon City,QCPD,PS 05 Fairview,1,1,0,0,0,0,0,0,0
82,Nov-2016,Quezon City,QCPD,PS 02 Masambong,1,1,0,0,0,0,0,1,0
83,Nov-2016,Quezon City,QCPD,PS 02 Masambong,1,1,0,0,0,1,1,1,0
84,Nov-2016,Quezon City,QCPD,PS 02 Masambong,1,1,0,0,0,0,0,0,0
85,Nov-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,1,0
86,Nov-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,0,0
87,Nov-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,1,0
88,Nov-2016,Quezon City,QCPD,PS 02 Masambong,1,1,0,0,0,0,0,0,0
89,Nov-2016,Quezon City,QCPD,PS 02 Masambong,1,1,0,0,0,0,0,1,0
90,Nov-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,1,0,1,1,1
91,Dec-2016,Quezon City,QCPD,PS 05 Fairview,1,1,0,0,0,0,0,1,0
92,Dec-2016,Quezon City,QCPD,PS 02 Masambong,1,1,0,0,0,0,0,1,0
93,Dec-2016,Quezon City,QCPD,PS 05 Fairview,1,1,0,0,0,0,0,0,0
94,Dec-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,0,0
95,Dec-2016,Quezon City,QCPD,PS 02 Masambong,1,1,0,0,0,0,0,1,0
96,Dec-2016,Quezon City,QCPD,PS 02 Masambong,1,1,0,0,0,0,0,1,0
97,Dec-2016,Quezon City,QCPD,PS 02 Masambong,1,1,0,0,0,0,0,0,0
98,Jan-2017,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,1,0
99,Jan-2017,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,1,0
100,Jan-2017,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,1,0
101,Apr-2017,Quezon City,QCPD,PS 05 Fairview,1,1,0,0,0,0,0,1,0
102,May-2017,Quezon City,QCPD,PS 02 Masambong,1,1,0,0,0,0,0,1,0
103,May-2017,Quezon City,QCPD,PS 02 Masambong,1,1,0,0,0,0,0,1,0
104,Jul-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,N/A,N/A,N/A,0,0,1,0
105,Jul-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,N/A,N/A,N/A,0,0,1,0
106,Jul-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,N/A,N/A,N/A,0,0,0,0
107,Jul-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,N/A,N/A,N/A,0,0,0,0
108,Jul-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,N/A,N/A,N/A,0,0,1,0
109,Jul-2016,Quezon City,QCPD,PS 07 Cubao,1,1,N/A,N/A,N/A,0,0,0,0
110,Aug-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,1,1,0,0
111,Aug-2016,Quezon City,QCPD,PS 10 Kamuning,1,1,0,0,0,0,0,0,0
112,Aug-2016,Quezon City,QCPD,PS 10 Kamuning,1,1,N/A,N/A,N/A,0,0,1,0
113,Sep-2016,Quezon City,QCPD,PS 03 Talipapa,1,1,0,0,0,0,0,1,0
114,Sep-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,0,1
115,Sep-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,0,1
116,Sep-2016,Quezon City,QCPD,PS 06 Batasan,1,1,1,0,1,0,0,0,0
117,Sep-2016,Quezon City,QCPD,PS 06 Batasan,1,1,1,0,1,0,0,0,0
118,Sep-2016,Quezon City,QCPD,PS 06 Batasan,1,1,1,0,1,0,0,0,0
119,Sep-2016,Quezon City,QCPD,PS 06 Batasan,1,1,1,0,1,0,0,0,0
120,Sep-2016,Quezon City,QCPD,PS 06 Batasan,1,1,1,0,1,0,0,0,0
121,Sep-2016,Quezon City,QCPD,PS 06 Batasan,1,1,1,0,1,0,0,0,0
122,Sep-2016,Quezon City,QCPD,PS 06 Batasan,1,1,1,0,1,0,0,0,0
123,Sep-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,1,1,1,0
124,Sep-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,1,1,1,0
125,Sep-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,1,1,1,0
126,Sep-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,1,0
127,Sep-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,0,0
128,Sep-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,0,0
129,Sep-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,0,1
130,Sep-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,0,1
131,Oct-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,0,0
132,Oct-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,1,1,0
133,Oct-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,0,0
134,Oct-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,0,1
135,Oct-2016,Quezon City,QCPD,PS 09 Quirino,1,1,0,0,0,0,0,0,0
136,Oct-2016,Quezon City,QCPD,PS 09 Quirino,1,1,0,0,0,0,0,0,0
137,Oct-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,0,0
138,Oct-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,0,0
139,Oct-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,0,0
140,Nov-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,1,0
141,Nov-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,0,0
142,Nov-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,0,0
143,Nov-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,1,0
144,Nov-2016,Quezon City,QCPD,PS 04 Novaliches,1,0,0,0,0,0,0,0,0
145,Nov-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,0,1
146,Nov-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,1,0
147,Nov-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,0,0
148,Nov-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,1,1,1,0
149,Nov-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,1,1,0,0
150,Nov-2016,Quezon City,QCPD,PS 01 La Loma,1,1,0,0,0,0,0,0,0
151,Nov-2016,Quezon City,QCPD,PS 01 La Loma,1,1,0,0,0,0,0,0,0
152,Nov-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,1,0
153,Nov-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,1,0
154,Nov-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,1,0
155,Nov-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,1,0
156,Nov-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,1,0
157,Nov-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,1,0
158,Nov-2016,Quezon City,QCPD,PS 11 Galas,1,1,0,0,0,0,0,1,0
159,Dec-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,1,1,1,0
160,Dec-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,0,0
161,Dec-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,1,1,1,0
162,Dec-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,1,1,1,0
163,Dec-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,1,0,1
164,Dec-2016,Quezon City,QCPD,PS 06 Batasan,1,0,0,0,0,0,0,1,1
165,Dec-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,1,0,1,1,0
166,Dec-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,1,0,1,0,0
167,Dec-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,0,0
168,Dec-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,1,0
169,Dec-2016,Quezon City,QCPD,PS 07 Cubao,1,1,0,0,0,0,0,0,0
170,Dec-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,0,0
171,Dec-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,0,0
172,Dec-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,0,0
173,Dec-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,0,0
174,Dec-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,1,0
175,Dec-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,0,0
176,Dec-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,1,0
177,Dec-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,0,1
178,Dec-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,1,1
179,Dec-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,1,1
180,Dec-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,1,0
181,Jan-2017,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,1,1,1
182,Jan-2017,Quezon City,QCPD,PS 03 Talipapa,1,1,0,0,0,0,0,1,0
183,Jan-2017,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,1,1
184,Jan-2017,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,0,0
185,Jan-2017,Quezon City,QCPD,PS 07 Cubao,1,1,0,0,0,0,0,0,0
186,Jan-2017,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,0,1
187,Jan-2017,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,0,1
188,Jan-2017,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,0,0
189,Jan-2017,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,1,0
190,Jan-2017,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,1,0
191,Jan-2017,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,1,0
192,Jan-2017,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,1,0
193,Jan-2017,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,1,0
194,Jan-2017,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,0,0
195,Jan-2017,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,0,0
196,Jan-2017,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,1,0
197,Jan-2017,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,1,0
198,Jan-2017,Quezon City,QCPD,PS 07 Cubao,1,1,0,0,0,0,0,1,0
199,Jan-2017,Quezon City,QCPD,PS 07 Cubao,1,1,0,0,0,0,0,1,0
200,Jan-2017,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,1,0
201,Jan-2017,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,1,1,0
202,Jan-2017,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,1,0,1,1,1
203,Apr-2017,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,1,1,0
204,Apr-2017,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,1,0
205,May-2017,Quezon City,QCPD,PS 06 Batasan,1,0,1,0,0,0,0,0,1
206,May-2017,Quezon City,QCPD,PS 06 Batasan,1,0,0,0,0,1,1,0,0
207,May-2017,Quezon City,QCPD,PS 06 Batasan,1,0,0,0,0,0,1,0,0
208,May-2017,Quezon City,QCPD,PS 04 Novaliches,1,0,0,0,0,0,0,0,0
209,May-2017,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,0,0
210,May-2017,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,1,0
211,Jun-2017,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,1,0
212,Oct-2016,Quezon City,QCPD,PS 04 Novaliches,1,0,0,0,0,0,0,0,0
213,Oct-2016,Quezon City,QCPD,PS 04 Novaliches,1,0,0,0,0,0,0,0,0
214,Oct-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,1,0
215,Oct-2016,Quezon City,QCPD,PS 04 Novaliches,1,0,0,0,0,0,0,0,0
216,Nov-2016,Quezon City,QCPD,PS 04 Novaliches,1,0,1,0,0,0,0,0,0
217,Nov-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,1,0
218,Nov-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,1,0
219,Dec-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,1,0
220,Dec-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,1,0
221,Dec-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,1,0
222,Dec-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,1,0
223,Dec-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,1,0
224,Jan-2017,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,1,0
225,Jan-2017,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,1,0
226,Jan-2017,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,0,0
227,Jan-2017,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,0,0
228,Jan-2017,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,1,0
229,May-2017,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,1,0
243,Nov-2016,Quezon City,QCPD,PS 09 Quirino,1,0,0,0,0,0,0,0,0
244,Nov-2016,Quezon City,QCPD,PS 09 Quirino,1,0,0,0,0,0,0,0,0
316,Sep-2016,Quezon City,QCPD,PS 01 La Loma,1,1,0,0,0,0,0,0,0
317,Sep-2016,Quezon City,QCPD,PS 01 La Loma,1,1,0,0,0,0,0,0,0
318,Oct-2016,Quezon City,QCPD,PS 01 La Loma,1,1,0,0,0,0,0,1,0
319,Oct-2016,Quezon City,QCPD,PS 01 La Loma,1,1,0,0,0,0,0,1,0
320,Nov-2016,Quezon City,QCPD,PS 06 Batasan,1,0,0,0,0,0,0,0,0
321,Nov-2016,Quezon City,QCPD,PS 02 Masambong,1,0,0,0,0,0,0,0,0
322,Nov-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,1,0
323,Dec-2016,Quezon City,QCPD,PS 04 Novaliches,1,0,0,0,0,0,0,0,0
324,Dec-2016,Quezon City,QCPD,PS 02 Masambong,1,1,0,0,0,0,0,1,0
325,Dec-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,1,0
326,Jan-2017,Quezon City,QCPD,PS 04 Novaliches,1,0,0,0,0,0,0,0,0
327,Jan-2017,Quezon City,QCPD,PS 04 Novaliches,1,0,0,0,0,0,0,0,0
328,Jan-2017,Quezon City,QCPD,PS 04 Novaliches,1,0,0,0,0,0,0,0,0
329,May-2017,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,1,0
330,May-2017,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,0,0
340,Aug-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,0,0
341,Aug-2016,Quezon City,QCPD,PS 04 Novaliches,1,0,0,0,0,0,0,0,0
342,Aug-2016,Quezon City,QCPD,PS 10 Kamuning,1,1,N/A,0,N/A,0,0,1,0
343,Aug-2016,Quezon City,QCPD,PS 10 Kamuning,1,1,N/A,0,N/A,0,0,0,0
345,Aug-2016,Quezon City,QCPD,PS 03 Talipapa,1,1,N/A,N/A,N/A,0,0,0,0
346,Aug-2016,Quezon City,QCPD,PS 03 Talipapa,1,1,N/A,N/A,N/A,0,0,0,0
348,Aug-2016,Quezon City,QCPD,PS 11 Galas,1,1,N/A,N/A,N/A,0,0,0,0
350,Dec-2016,Quezon City,QCPD,PS 03 Talipapa,1,1,1,0,0,0,0,1,0
356,Dec-2016,Quezon City,QCPD,PS 02 Masambong,1,1,0,0,0,0,0,1,0
357,Dec-2016,Quezon City,QCPD,PS 02 Masambong,1,1,0,0,0,0,0,1,0
360,Dec-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,1,0
366,Sep-2016,Quezon City,QCPD,PS 02 Masambong,1,1,0,0,0,0,0,0,0
367,Sep-2016,Quezon City,QCPD,PS 02 Masambong,1,1,0,0,0,0,0,0,0
368,Sep-2016,Quezon City,QCPD,PS 02 Masambong,1,1,0,0,0,0,0,0,0
370,Sep-2016,Quezon City,QCPD,PS 02 Masambong,1,1,0,0,0,0,0,1,0
371,Sep-2016,Quezon City,QCPD,PS 02 Masambong,1,1,0,0,0,0,0,0,0
373,Sep-2016,Quezon City,QCPD,PS 03 Talipapa,1,0,0,0,0,0,0,0,0
374,Sep-2016,Quezon City,QCPD,PS 03 Talipapa,1,0,0,0,0,0,0,0,0
375,Sep-2016,Quezon City,QCPD,PS 02 Masambong,1,1,0,0,0,0,0,1,0
376,Sep-2016,Quezon City,QCPD,PS 02 Masambong,1,1,0,0,0,0,0,0,0
378,Sep-2016,Quezon City,QCPD,PS 11 Galas,1,1,0,0,0,0,0,1,0
379,Sep-2016,Quezon City,QCPD,PS 11 Galas,1,1,0,0,0,0,0,1,0
380,Sep-2016,Quezon City,QCPD,PS 11 Galas,1,1,0,0,0,0,0,0,0
381,Sep-2016,Quezon City,QCPD,PS 11 Galas,1,1,0,0,0,0,0,0,0
382,Oct-2016,Quezon City,QCPD,PS 03 Talipapa,1,1,0,0,0,0,0,1,0
383,Oct-2016,Quezon City,QCPD,PS 03 Talipapa,1,1,0,0,0,0,0,1,0
393,Oct-2016,Quezon City,QCPD,PS 05 Fairview,1,1,0,0,0,0,0,1,0
394,Oct-2016,Quezon City,QCPD,PS 05 Fairview,1,1,0,0,0,0,0,0,0
395,Oct-2016,Quezon City,QCPD,PS 04 Novaliches,1,0,0,0,0,0,0,0,0
396,Oct-2016,Quezon City,QCPD,PS 04 Novaliches,1,0,0,0,0,0,0,0,0
398,Oct-2016,Quezon City,QCPD,PS 05 Fairview,1,1,0,0,0,0,0,1,0
399,Nov-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,1,0
400,Nov-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,0,0
401,Nov-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0,0,0,0,0,0,0
406,Nov-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,0,0
407,Nov-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0,0,0,0,0,0,0
410,Jul-2016,Quezon City,QCPD,PS 02 Masambong,1,1,N/A,N/A,N/A,0,0,0,0
